IntendedEndUserRole,EducationalUse,TypicalAgeRange,InteractivityType,MediaType,LearningResourceType
Administrator,Activity,0-2,Active,Audio CD,Activity
Mentor,Analogies,2-5,Expositive,Audiotape,Assessment
Parent,Assessment,5-8,Mixed,Calculator,Audio
Peer Tutor,Auditory,8-10,,CD-I,Broadcast
Specialist,Brainstorming,10-12,,CD-ROM,Calculator
Student,Classifying,12-14,,Diskette,Discussion
Teacher,Comparing,14-16,,Duplication Master,E-Mail
Team,Cooperative Learning,16-18,,DVD/ Blu-ray,Field Trip
,Creative Response,18+,,E-Mail,Hands-on
,Demonstration,,,Electronic Slides,In-Person/Speaker
,Differentiation ,,,Field Trip,Kinesthetic
,Discovery Learning,,,Filmstrip,Lab Material (Printed Activities - Instruments - Samples...)
,Discussion/Debate,,,Flash,Lesson Plan
,Drill & Practice,,,Image,Manipulative
,Experiential,,,In-Person/Speaker,MBL (Microcomputer Based)
,Field Trip,,,Interactive Whiteboard,Model
,Game,,,Manipulative,N/A
,Generating hypotheses,,,MBL (Microcomputer Based),On-Line
,Guided questions ,,,Microfiche,Podcast
,Hands-on,,,Overhead,Presentation
,Homework,,,Pamphlet,Printed
,Identify similarities & differences,,,PDF,Quiz
,Inquiry,,,Person-to-Person,Robotics
,Interactive,,,Phonograph Record,Still Image
,Interview/Survey,,,Photo,Test
,Interviews,,,Podcast,Video
,Introduction,,,Printed,Wiki
,Journaling ,,,Radio,Worksheet
,Kinesthetic,,,Robotics,
,Laboratory,,,Satellite,
,Lecture,,,Slides,
,Metaphors,,,Television,
,Model & Simulation,,,Transparency,
,Musical,,,Video Conference,
,Nonlinguistic ,,,Videodisc,
,Note taking ,,,Webpage,
,Peer Coaching,,,Wiki,
,Peer Response,,,,
,Play,,,,
,Presentation,,,,
,Problem Solving,,,,
,Problem Based,,,,
,Project,,,,
,Questioning ,,,,
,Reading,,,,
,Reciprocal Teaching ,,,,
,Reflection,,,,
,Reinforcement,,,,
,Research,,,,
,Review,,,,
,Role Playing,,,,
,Service Learning ,,,,
,Simulations,,,,
,Summarizing ,,,,
,Technology ,,,,
,Testing Hypotheses,,,,
,Thematic Instruction ,,,,
,Visual/Spatial,,,,
,Word Association,,,,
,Writing,,,,
